1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 220000002F760521
Is Mission Active?  false
Mission Start:  Fri Apr 26 10:53:00 GMT-03:00 2013
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  1807
Total Samples:  1807
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/05/13 10:13:00 PM,C,22.5
05/05/13 10:23:00 PM,C,22.5
05/05/13 10:33:00 PM,C,22.5
05/05/13 10:43:00 PM,C,22.5
05/05/13 10:53:00 PM,C,22.5
05/05/13 11:03:00 PM,C,22
05/05/13 11:13:00 PM,C,22
05/05/13 11:23:00 PM,C,22
05/05/13 11:33:00 PM,C,22
05/05/13 11:43:00 PM,C,22
05/05/13 11:53:00 PM,C,22
06/05/13 12:03:00 AM,C,22
06/05/13 12:13:00 AM,C,22
06/05/13 12:23:00 AM,C,22
06/05/13 12:33:00 AM,C,22
06/05/13 12:43:00 AM,C,21.5
06/05/13 12:53:00 AM,C,21.5
06/05/13 1:03:00 AM,C,21.5
06/05/13 1:13:00 AM,C,21.5
06/05/13 1:23:00 AM,C,21.5
06/05/13 1:33:00 AM,C,21.5
06/05/13 1:43:00 AM,C,21.5
06/05/13 1:53:00 AM,C,21.5
06/05/13 2:03:00 AM,C,21.5
06/05/13 2:13:00 AM,C,21.5
06/05/13 2:23:00 AM,C,21.5
06/05/13 2:33:00 AM,C,21.5
06/05/13 2:43:00 AM,C,21.5
06/05/13 2:53:00 AM,C,22
06/05/13 3:03:00 AM,C,22
06/05/13 3:13:00 AM,C,22
06/05/13 3:23:00 AM,C,22
06/05/13 3:33:00 AM,C,22
06/05/13 3:43:00 AM,C,22
06/05/13 3:53:00 AM,C,22
06/05/13 4:03:00 AM,C,22
06/05/13 4:13:00 AM,C,22
06/05/13 4:23:00 AM,C,22
06/05/13 4:33:00 AM,C,22
06/05/13 4:43:00 AM,C,22
06/05/13 4:53:00 AM,C,22
06/05/13 5:03:00 AM,C,22
06/05/13 5:13:00 AM,C,22
06/05/13 5:23:00 AM,C,22
06/05/13 5:33:00 AM,C,22
06/05/13 5:43:00 AM,C,22
06/05/13 5:53:00 AM,C,22
06/05/13 6:03:00 AM,C,22
06/05/13 6:13:00 AM,C,22
06/05/13 6:23:00 AM,C,21.5
06/05/13 6:33:00 AM,C,21.5
06/05/13 6:43:00 AM,C,21.5
06/05/13 6:53:00 AM,C,21.5
06/05/13 7:03:00 AM,C,21.5
06/05/13 7:13:00 AM,C,21.5
06/05/13 7:23:00 AM,C,22
06/05/13 7:33:00 AM,C,22
06/05/13 7:43:00 AM,C,22
06/05/13 7:53:00 AM,C,22.5
06/05/13 8:03:00 AM,C,22.5
06/05/13 8:13:00 AM,C,23
06/05/13 8:23:00 AM,C,23.5
06/05/13 8:33:00 AM,C,23.5
06/05/13 8:43:00 AM,C,24
06/05/13 8:53:00 AM,C,24
06/05/13 9:03:00 AM,C,24.5
06/05/13 9:13:00 AM,C,25
06/05/13 9:23:00 AM,C,25
06/05/13 9:33:00 AM,C,25
06/05/13 9:43:00 AM,C,25
06/05/13 9:53:00 AM,C,24.5
06/05/13 10:03:00 AM,C,24
06/05/13 10:13:00 AM,C,24
06/05/13 10:23:00 AM,C,23.5
06/05/13 10:33:00 AM,C,23
06/05/13 10:43:00 AM,C,23
06/05/13 10:53:00 AM,C,22.5
06/05/13 11:03:00 AM,C,22.5
06/05/13 11:13:00 AM,C,22
06/05/13 11:23:00 AM,C,22
06/05/13 11:33:00 AM,C,22
06/05/13 11:43:00 AM,C,22
06/05/13 11:53:00 AM,C,21.5
06/05/13 12:03:00 PM,C,21.5
06/05/13 12:13:00 PM,C,21.5
06/05/13 12:23:00 PM,C,21.5
06/05/13 12:33:00 PM,C,21.5
06/05/13 12:43:00 PM,C,21.5
06/05/13 12:53:00 PM,C,21.5
06/05/13 1:03:00 PM,C,21.5
06/05/13 1:13:00 PM,C,21.5
06/05/13 1:23:00 PM,C,21.5
06/05/13 1:33:00 PM,C,21.5
06/05/13 1:43:00 PM,C,21.5
06/05/13 1:53:00 PM,C,22
06/05/13 2:03:00 PM,C,22
06/05/13 2:13:00 PM,C,22
06/05/13 2:23:00 PM,C,22
06/05/13 2:33:00 PM,C,22
06/05/13 2:43:00 PM,C,22
06/05/13 2:53:00 PM,C,22
06/05/13 3:03:00 PM,C,22
06/05/13 3:13:00 PM,C,22
06/05/13 3:23:00 PM,C,22
06/05/13 3:33:00 PM,C,22
06/05/13 3:43:00 PM,C,22
06/05/13 3:53:00 PM,C,22
06/05/13 4:03:00 PM,C,22
06/05/13 4:13:00 PM,C,22
06/05/13 4:23:00 PM,C,22
06/05/13 4:33:00 PM,C,21.5
06/05/13 4:43:00 PM,C,21.5
06/05/13 4:53:00 PM,C,21.5
06/05/13 5:03:00 PM,C,21.5
06/05/13 5:13:00 PM,C,21.5
06/05/13 5:23:00 PM,C,21.5
06/05/13 5:33:00 PM,C,21
06/05/13 5:43:00 PM,C,21
06/05/13 5:53:00 PM,C,21
06/05/13 6:03:00 PM,C,21
06/05/13 6:13:00 PM,C,21
06/05/13 6:23:00 PM,C,21
06/05/13 6:33:00 PM,C,21
06/05/13 6:43:00 PM,C,20.5
06/05/13 6:53:00 PM,C,20.5
06/05/13 7:03:00 PM,C,20.5
06/05/13 7:13:00 PM,C,20.5
06/05/13 7:23:00 PM,C,20.5
06/05/13 7:33:00 PM,C,20.5
06/05/13 7:43:00 PM,C,20.5
06/05/13 7:53:00 PM,C,20.5
06/05/13 8:03:00 PM,C,20.5
06/05/13 8:13:00 PM,C,20.5
06/05/13 8:23:00 PM,C,20.5
06/05/13 8:33:00 PM,C,20.5
06/05/13 8:43:00 PM,C,20.5
06/05/13 8:53:00 PM,C,20
06/05/13 9:03:00 PM,C,20
06/05/13 9:13:00 PM,C,20
06/05/13 9:23:00 PM,C,20
06/05/13 9:33:00 PM,C,20
06/05/13 9:43:00 PM,C,20
06/05/13 9:53:00 PM,C,20
06/05/13 10:03:00 PM,C,20
06/05/13 10:13:00 PM,C,20
06/05/13 10:23:00 PM,C,20
06/05/13 10:33:00 PM,C,20
06/05/13 10:43:00 PM,C,20
06/05/13 10:53:00 PM,C,20
06/05/13 11:03:00 PM,C,19.5
06/05/13 11:13:00 PM,C,19.5
06/05/13 11:23:00 PM,C,19.5
06/05/13 11:33:00 PM,C,19.5
06/05/13 11:43:00 PM,C,19.5
06/05/13 11:53:00 PM,C,19.5
07/05/13 12:03:00 AM,C,19.5
07/05/13 12:13:00 AM,C,19
07/05/13 12:23:00 AM,C,19
07/05/13 12:33:00 AM,C,19
07/05/13 12:43:00 AM,C,19
07/05/13 12:53:00 AM,C,19
07/05/13 1:03:00 AM,C,18.5
07/05/13 1:13:00 AM,C,18.5
07/05/13 1:23:00 AM,C,18.5
07/05/13 1:33:00 AM,C,18.5
07/05/13 1:43:00 AM,C,18.5
07/05/13 1:53:00 AM,C,18.5
07/05/13 2:03:00 AM,C,18.5
07/05/13 2:13:00 AM,C,18.5
07/05/13 2:23:00 AM,C,18.5
07/05/13 2:33:00 AM,C,18
07/05/13 2:43:00 AM,C,18
07/05/13 2:53:00 AM,C,18
07/05/13 3:03:00 AM,C,18
07/05/13 3:13:00 AM,C,18
07/05/13 3:23:00 AM,C,18
07/05/13 3:33:00 AM,C,17.5
07/05/13 3:43:00 AM,C,17.5
07/05/13 3:53:00 AM,C,17.5
07/05/13 4:03:00 AM,C,17.5
07/05/13 4:13:00 AM,C,17.5
07/05/13 4:23:00 AM,C,17.5
07/05/13 4:33:00 AM,C,17.5
07/05/13 4:43:00 AM,C,17.5
07/05/13 4:53:00 AM,C,17.5
07/05/13 5:03:00 AM,C,17.5
07/05/13 5:13:00 AM,C,17.5
07/05/13 5:23:00 AM,C,17.5
07/05/13 5:33:00 AM,C,17.5
07/05/13 5:43:00 AM,C,17.5
07/05/13 5:53:00 AM,C,17.5
07/05/13 6:03:00 AM,C,17
07/05/13 6:13:00 AM,C,17
07/05/13 6:23:00 AM,C,17
07/05/13 6:33:00 AM,C,17
07/05/13 6:43:00 AM,C,17.5
07/05/13 6:53:00 AM,C,17.5
07/05/13 7:03:00 AM,C,17.5
07/05/13 7:13:00 AM,C,17.5
07/05/13 7:23:00 AM,C,17.5
07/05/13 7:33:00 AM,C,17.5
07/05/13 7:43:00 AM,C,18
07/05/13 7:53:00 AM,C,18
07/05/13 8:03:00 AM,C,18.5
07/05/13 8:13:00 AM,C,18.5
07/05/13 8:23:00 AM,C,18.5
07/05/13 8:33:00 AM,C,19
07/05/13 8:43:00 AM,C,19
07/05/13 8:53:00 AM,C,19.5
07/05/13 9:03:00 AM,C,19.5
07/05/13 9:13:00 AM,C,20
07/05/13 9:23:00 AM,C,20
07/05/13 9:33:00 AM,C,20.5
07/05/13 9:43:00 AM,C,20.5
07/05/13 9:53:00 AM,C,21
07/05/13 10:03:00 AM,C,21
07/05/13 10:13:00 AM,C,21.5
07/05/13 10:23:00 AM,C,21.5
07/05/13 10:33:00 AM,C,22
07/05/13 10:43:00 AM,C,22
07/05/13 10:53:00 AM,C,22.5
07/05/13 11:03:00 AM,C,23
07/05/13 11:13:00 AM,C,23
07/05/13 11:23:00 AM,C,23.5
07/05/13 11:33:00 AM,C,23.5
07/05/13 11:43:00 AM,C,24
07/05/13 11:53:00 AM,C,24
07/05/13 12:03:00 PM,C,24.5
07/05/13 12:13:00 PM,C,24.5
07/05/13 12:23:00 PM,C,25
07/05/13 12:33:00 PM,C,25
07/05/13 12:43:00 PM,C,25
07/05/13 12:53:00 PM,C,25
07/05/13 1:03:00 PM,C,25.5
07/05/13 1:13:00 PM,C,25.5
07/05/13 1:23:00 PM,C,25.5
07/05/13 1:33:00 PM,C,26
07/05/13 1:43:00 PM,C,26
07/05/13 1:53:00 PM,C,26
07/05/13 2:03:00 PM,C,25.5
07/05/13 2:13:00 PM,C,25.5
07/05/13 2:23:00 PM,C,25.5
07/05/13 2:33:00 PM,C,25.5
07/05/13 2:43:00 PM,C,25.5
07/05/13 2:53:00 PM,C,25.5
07/05/13 3:03:00 PM,C,25.5
07/05/13 3:13:00 PM,C,25
07/05/13 3:23:00 PM,C,25
07/05/13 3:33:00 PM,C,25
07/05/13 3:43:00 PM,C,25
07/05/13 3:53:00 PM,C,25
07/05/13 4:03:00 PM,C,24.5
07/05/13 4:13:00 PM,C,24.5
07/05/13 4:23:00 PM,C,24.5
07/05/13 4:33:00 PM,C,24.5
07/05/13 4:43:00 PM,C,24.5
07/05/13 4:53:00 PM,C,24
07/05/13 5:03:00 PM,C,24
07/05/13 5:13:00 PM,C,24
07/05/13 5:23:00 PM,C,24
07/05/13 5:33:00 PM,C,23.5
07/05/13 5:43:00 PM,C,23.5
07/05/13 5:53:00 PM,C,23.5
07/05/13 6:03:00 PM,C,23.5
07/05/13 6:13:00 PM,C,23
07/05/13 6:23:00 PM,C,23
07/05/13 6:33:00 PM,C,23
07/05/13 6:43:00 PM,C,23
07/05/13 6:53:00 PM,C,22.5
07/05/13 7:03:00 PM,C,22.5
07/05/13 7:13:00 PM,C,22.5
07/05/13 7:23:00 PM,C,22
07/05/13 7:33:00 PM,C,22
07/05/13 7:43:00 PM,C,22
07/05/13 7:53:00 PM,C,21.5
07/05/13 8:03:00 PM,C,21.5
07/05/13 8:13:00 PM,C,21.5
07/05/13 8:23:00 PM,C,21
07/05/13 8:33:00 PM,C,21
07/05/13 8:43:00 PM,C,21
07/05/13 8:53:00 PM,C,21
07/05/13 9:03:00 PM,C,21
07/05/13 9:13:00 PM,C,20.5
07/05/13 9:23:00 PM,C,20.5
07/05/13 9:33:00 PM,C,20.5
07/05/13 9:43:00 PM,C,20.5
07/05/13 9:53:00 PM,C,20
07/05/13 10:03:00 PM,C,20
07/05/13 10:13:00 PM,C,20
07/05/13 10:23:00 PM,C,20
07/05/13 10:33:00 PM,C,20
07/05/13 10:43:00 PM,C,19.5
07/05/13 10:53:00 PM,C,19.5
07/05/13 11:03:00 PM,C,19.5
07/05/13 11:13:00 PM,C,19.5
07/05/13 11:23:00 PM,C,19.5
07/05/13 11:33:00 PM,C,19
07/05/13 11:43:00 PM,C,19
07/05/13 11:53:00 PM,C,19
08/05/13 12:03:00 AM,C,19
08/05/13 12:13:00 AM,C,19
08/05/13 12:23:00 AM,C,19
08/05/13 12:33:00 AM,C,18.5
08/05/13 12:43:00 AM,C,18.5
08/05/13 12:53:00 AM,C,19
08/05/13 1:03:00 AM,C,19
08/05/13 1:13:00 AM,C,19
08/05/13 1:23:00 AM,C,19
08/05/13 1:33:00 AM,C,19
08/05/13 1:43:00 AM,C,19
08/05/13 1:53:00 AM,C,19.5
08/05/13 2:03:00 AM,C,19.5
08/05/13 2:13:00 AM,C,19.5
08/05/13 2:23:00 AM,C,19.5
08/05/13 2:33:00 AM,C,19.5
08/05/13 2:43:00 AM,C,19.5
08/05/13 2:53:00 AM,C,19.5
08/05/13 3:03:00 AM,C,19.5
08/05/13 3:13:00 AM,C,19.5
08/05/13 3:23:00 AM,C,19.5
08/05/13 3:33:00 AM,C,20
08/05/13 3:43:00 AM,C,20
08/05/13 3:53:00 AM,C,20
08/05/13 4:03:00 AM,C,20
08/05/13 4:13:00 AM,C,20
08/05/13 4:23:00 AM,C,20
08/05/13 4:33:00 AM,C,20
08/05/13 4:43:00 AM,C,20
08/05/13 4:53:00 AM,C,20
08/05/13 5:03:00 AM,C,20
08/05/13 5:13:00 AM,C,20
08/05/13 5:23:00 AM,C,20
08/05/13 5:33:00 AM,C,20
08/05/13 5:43:00 AM,C,20
08/05/13 5:53:00 AM,C,20
08/05/13 6:03:00 AM,C,20
08/05/13 6:13:00 AM,C,20
08/05/13 6:23:00 AM,C,20
08/05/13 6:33:00 AM,C,20
08/05/13 6:43:00 AM,C,20
08/05/13 6:53:00 AM,C,20
08/05/13 7:03:00 AM,C,20
08/05/13 7:13:00 AM,C,20
08/05/13 7:23:00 AM,C,20
08/05/13 7:33:00 AM,C,20.5
08/05/13 7:43:00 AM,C,20.5
08/05/13 7:53:00 AM,C,20.5
08/05/13 8:03:00 AM,C,21
08/05/13 8:13:00 AM,C,21
08/05/13 8:23:00 AM,C,21
08/05/13 8:33:00 AM,C,21
08/05/13 8:43:00 AM,C,21
08/05/13 8:53:00 AM,C,21.5
08/05/13 9:03:00 AM,C,21.5
08/05/13 9:13:00 AM,C,22
08/05/13 9:23:00 AM,C,23
08/05/13 9:33:00 AM,C,24
08/05/13 9:43:00 AM,C,25
08/05/13 9:53:00 AM,C,25.5
08/05/13 10:03:00 AM,C,25.5
08/05/13 10:13:00 AM,C,25.5
08/05/13 10:23:00 AM,C,25.5
08/05/13 10:33:00 AM,C,25.5
08/05/13 10:43:00 AM,C,25
08/05/13 10:53:00 AM,C,25
08/05/13 11:03:00 AM,C,25
08/05/13 11:13:00 AM,C,25
08/05/13 11:23:00 AM,C,25
08/05/13 11:33:00 AM,C,25
08/05/13 11:43:00 AM,C,25
08/05/13 11:53:00 AM,C,25
08/05/13 12:03:00 PM,C,28
08/05/13 12:13:00 PM,C,26.5
08/05/13 12:23:00 PM,C,25.5
08/05/13 12:33:00 PM,C,22.5
08/05/13 12:43:00 PM,C,23.5
08/05/13 12:53:00 PM,C,23.5
08/05/13 1:03:00 PM,C,24
08/05/13 1:13:00 PM,C,24
08/05/13 1:23:00 PM,C,24
08/05/13 1:33:00 PM,C,24.5
08/05/13 1:43:00 PM,C,24.5
08/05/13 1:53:00 PM,C,24.5
08/05/13 2:03:00 PM,C,24.5
08/05/13 2:13:00 PM,C,25
08/05/13 2:23:00 PM,C,25
08/05/13 2:33:00 PM,C,25.5
08/05/13 2:43:00 PM,C,25.5
08/05/13 2:53:00 PM,C,24.5
08/05/13 3:03:00 PM,C,25
08/05/13 3:13:00 PM,C,25
08/05/13 3:23:00 PM,C,25
08/05/13 3:33:00 PM,C,24.5
08/05/13 3:43:00 PM,C,24
08/05/13 3:53:00 PM,C,24
08/05/13 4:03:00 PM,C,23
08/05/13 4:13:00 PM,C,23
08/05/13 4:23:00 PM,C,22.5
08/05/13 4:33:00 PM,C,22.5
08/05/13 4:43:00 PM,C,22.5
08/05/13 4:53:00 PM,C,22.5
08/05/13 5:03:00 PM,C,22.5
08/05/13 5:13:00 PM,C,23.5
08/05/13 5:23:00 PM,C,24
08/05/13 5:33:00 PM,C,24.5
08/05/13 5:43:00 PM,C,24.5
08/05/13 5:53:00 PM,C,25
08/05/13 6:03:00 PM,C,25
08/05/13 6:13:00 PM,C,24.5
08/05/13 6:23:00 PM,C,24.5
08/05/13 6:33:00 PM,C,25
08/05/13 6:43:00 PM,C,25
08/05/13 6:53:00 PM,C,25
08/05/13 7:03:00 PM,C,25
08/05/13 7:13:00 PM,C,24.5
08/05/13 7:23:00 PM,C,24.5
08/05/13 7:33:00 PM,C,24.5
08/05/13 7:43:00 PM,C,24.5
08/05/13 7:53:00 PM,C,24.5
08/05/13 8:03:00 PM,C,24
08/05/13 8:13:00 PM,C,24
08/05/13 8:23:00 PM,C,24
08/05/13 8:33:00 PM,C,24
08/05/13 8:43:00 PM,C,24
08/05/13 8:53:00 PM,C,24
08/05/13 9:03:00 PM,C,24
08/05/13 9:13:00 PM,C,23.5
08/05/13 9:23:00 PM,C,23
08/05/13 9:33:00 PM,C,23
08/05/13 9:43:00 PM,C,22.5
08/05/13 9:53:00 PM,C,22.5
08/05/13 10:03:00 PM,C,22.5
08/05/13 10:13:00 PM,C,23
08/05/13 10:23:00 PM,C,23.5
08/05/13 10:33:00 PM,C,23.5
08/05/13 10:43:00 PM,C,23.5
08/05/13 10:53:00 PM,C,24
08/05/13 11:03:00 PM,C,24
08/05/13 11:13:00 PM,C,24
08/05/13 11:23:00 PM,C,24
08/05/13 11:33:00 PM,C,24
08/05/13 11:43:00 PM,C,24.5
08/05/13 11:53:00 PM,C,25
