1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6B0000002F850D21
Is Mission Active?  true
Mission Start:  Tue Apr 30 11:39:00 CST 2013
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  1799
Total Samples:  1799
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
11/05/13 9:29:00 PM,C,19.5
11/05/13 9:39:00 PM,C,19
11/05/13 9:49:00 PM,C,19
11/05/13 9:59:00 PM,C,19
11/05/13 10:09:00 PM,C,19
11/05/13 10:19:00 PM,C,18.5
11/05/13 10:29:00 PM,C,18.5
11/05/13 10:39:00 PM,C,18.5
11/05/13 10:49:00 PM,C,18.5
11/05/13 10:59:00 PM,C,18.5
11/05/13 11:09:00 PM,C,18
11/05/13 11:19:00 PM,C,18
11/05/13 11:29:00 PM,C,18
11/05/13 11:39:00 PM,C,18
11/05/13 11:49:00 PM,C,18
11/05/13 11:59:00 PM,C,17.5
12/05/13 12:09:00 AM,C,17.5
12/05/13 12:19:00 AM,C,17.5
12/05/13 12:29:00 AM,C,17.5
12/05/13 12:39:00 AM,C,17.5
12/05/13 12:49:00 AM,C,17.5
12/05/13 12:59:00 AM,C,17
12/05/13 1:09:00 AM,C,17
12/05/13 1:19:00 AM,C,17
12/05/13 1:29:00 AM,C,17
12/05/13 1:39:00 AM,C,17
12/05/13 1:49:00 AM,C,17
12/05/13 1:59:00 AM,C,17
12/05/13 2:09:00 AM,C,17
12/05/13 2:19:00 AM,C,17
12/05/13 2:29:00 AM,C,17
12/05/13 2:39:00 AM,C,17
12/05/13 2:49:00 AM,C,17
12/05/13 2:59:00 AM,C,17
12/05/13 3:09:00 AM,C,17
12/05/13 3:19:00 AM,C,17
12/05/13 3:29:00 AM,C,17
12/05/13 3:39:00 AM,C,17
12/05/13 3:49:00 AM,C,17
12/05/13 3:59:00 AM,C,17
12/05/13 4:09:00 AM,C,17
12/05/13 4:19:00 AM,C,17
12/05/13 4:29:00 AM,C,17
12/05/13 4:39:00 AM,C,17
12/05/13 4:49:00 AM,C,17
12/05/13 4:59:00 AM,C,17
12/05/13 5:09:00 AM,C,17
12/05/13 5:19:00 AM,C,17
12/05/13 5:29:00 AM,C,17
12/05/13 5:39:00 AM,C,17
12/05/13 5:49:00 AM,C,17
12/05/13 5:59:00 AM,C,17.5
12/05/13 6:09:00 AM,C,17.5
12/05/13 6:19:00 AM,C,17.5
12/05/13 6:29:00 AM,C,17.5
12/05/13 6:39:00 AM,C,17.5
12/05/13 6:49:00 AM,C,18
12/05/13 6:59:00 AM,C,18
12/05/13 7:09:00 AM,C,18
12/05/13 7:19:00 AM,C,18.5
12/05/13 7:29:00 AM,C,18.5
12/05/13 7:39:00 AM,C,18.5
12/05/13 7:49:00 AM,C,19
12/05/13 7:59:00 AM,C,19
12/05/13 8:09:00 AM,C,19.5
12/05/13 8:19:00 AM,C,19.5
12/05/13 8:29:00 AM,C,20
12/05/13 8:39:00 AM,C,20.5
12/05/13 8:49:00 AM,C,21
12/05/13 8:59:00 AM,C,21.5
12/05/13 9:09:00 AM,C,22
12/05/13 9:19:00 AM,C,22
12/05/13 9:29:00 AM,C,22.5
12/05/13 9:39:00 AM,C,23.5
12/05/13 9:49:00 AM,C,24.5
12/05/13 9:59:00 AM,C,25
12/05/13 10:09:00 AM,C,26
12/05/13 10:19:00 AM,C,26
12/05/13 10:29:00 AM,C,26
12/05/13 10:39:00 AM,C,25.5
12/05/13 10:49:00 AM,C,25.5
12/05/13 10:59:00 AM,C,25
12/05/13 11:09:00 AM,C,24.5
12/05/13 11:19:00 AM,C,24.5
12/05/13 11:29:00 AM,C,24.5
12/05/13 11:39:00 AM,C,24.5
12/05/13 11:49:00 AM,C,24.5
12/05/13 11:59:00 AM,C,24.5
12/05/13 12:09:00 PM,C,24.5
12/05/13 12:19:00 PM,C,24.5
12/05/13 12:29:00 PM,C,24.5
12/05/13 12:39:00 PM,C,24.5
12/05/13 12:49:00 PM,C,24.5
12/05/13 12:59:00 PM,C,24.5
12/05/13 1:09:00 PM,C,24.5
12/05/13 1:19:00 PM,C,24.5
12/05/13 1:29:00 PM,C,24.5
12/05/13 1:39:00 PM,C,24.5
12/05/13 1:49:00 PM,C,25
12/05/13 1:59:00 PM,C,25
12/05/13 2:09:00 PM,C,25
12/05/13 2:19:00 PM,C,25
12/05/13 2:29:00 PM,C,25
12/05/13 2:39:00 PM,C,25
12/05/13 2:49:00 PM,C,25.5
12/05/13 2:59:00 PM,C,25.5
12/05/13 3:09:00 PM,C,25.5
12/05/13 3:19:00 PM,C,26
12/05/13 3:29:00 PM,C,26
12/05/13 3:39:00 PM,C,26
12/05/13 3:49:00 PM,C,27
12/05/13 3:59:00 PM,C,27.5
12/05/13 4:09:00 PM,C,28
12/05/13 4:19:00 PM,C,28
12/05/13 4:29:00 PM,C,25
12/05/13 4:39:00 PM,C,25
12/05/13 4:49:00 PM,C,24.5
12/05/13 4:59:00 PM,C,24
12/05/13 5:09:00 PM,C,24.5
12/05/13 5:19:00 PM,C,25.5
12/05/13 5:29:00 PM,C,26.5
12/05/13 5:39:00 PM,C,26.5
12/05/13 5:49:00 PM,C,27
12/05/13 5:59:00 PM,C,27
12/05/13 6:09:00 PM,C,27
12/05/13 6:19:00 PM,C,27
12/05/13 6:29:00 PM,C,27
12/05/13 6:39:00 PM,C,27
12/05/13 6:49:00 PM,C,27
12/05/13 6:59:00 PM,C,27
12/05/13 7:09:00 PM,C,27
12/05/13 7:19:00 PM,C,27
12/05/13 7:29:00 PM,C,27
12/05/13 7:39:00 PM,C,27
12/05/13 7:49:00 PM,C,27
12/05/13 7:59:00 PM,C,27
12/05/13 8:09:00 PM,C,27
12/05/13 8:19:00 PM,C,27
12/05/13 8:29:00 PM,C,27
12/05/13 8:39:00 PM,C,27
12/05/13 8:49:00 PM,C,27
12/05/13 8:59:00 PM,C,26.5
12/05/13 9:09:00 PM,C,26.5
12/05/13 9:19:00 PM,C,26
12/05/13 9:29:00 PM,C,26
12/05/13 9:39:00 PM,C,26
12/05/13 9:49:00 PM,C,26.5
12/05/13 9:59:00 PM,C,26.5
12/05/13 10:09:00 PM,C,26.5
12/05/13 10:19:00 PM,C,26.5
12/05/13 10:29:00 PM,C,26.5
12/05/13 10:39:00 PM,C,26.5
12/05/13 10:49:00 PM,C,26.5
12/05/13 10:59:00 PM,C,26
12/05/13 11:09:00 PM,C,26
12/05/13 11:19:00 PM,C,26.5
